created_at,twitter_id,screen_name,followers_count,friends_count,favorite_count/like_count,retweet_count,hashtags,mentions,in_reply_to_screen_name,twitter_url,text,is_retweet,is_quote,coordinates,url1,url1_expanded,url2,url2_expanded,media_url
2016-09-27 00:31:49+00:00,780565573990318080,WOOKIE318,2434,3371,0,0,debates,riotwomennn,,http://twitter.com/WOOKIE318/status/780565573990318080,"RT @riotwomennn: I know the notion is old fashioned; look at qualifications, accomplishments,  temperament: Hillary Clinton #debates https:…",Yes,No,,,,,,
2016-09-27 00:31:59+00:00,780565614020681728,hturner2090,148,747,0,0,"Trump, Debates, debatenight",girlsreallyrule,,http://twitter.com/hturner2090/status/780565614020681728,RT @girlsreallyrule: BREAKING NEWS: #Trump directed $2.3 million to his tax-exempt foundation to avoid taxes #Debates #debatenight https://…,Yes,No,,,,,,
2016-09-27 00:32:01+00:00,780565625429225473,life_benefit,2565,2680,0,0,"slipping, debatenight",ChristiChat,,http://twitter.com/life_benefit/status/780565625429225473,RT @ChristiChat: As Hillary's poll numbers are #slipping imagine the dismay Bernie Sanders supporters are feeling on #debatenight  Join US!…,Yes,No,,,,,,
2016-09-27 00:32:48+00:00,780565819965059078,DaimlerMorlee,23,62,0,0,,"lancegould, the_brianjoyce",,http://twitter.com/DaimlerMorlee/status/780565819965059078,RT @lancegould: New video by @the_brianjoyce: It Doesn't Matter Who Wins Tonight's Debate. America Has Already Lost: https://t.co/46w9ZEhwH…,Yes,No,,,,,,
2016-09-27 00:33:20+00:00,780565955638202369,maxxi_lynn,488,345,0,0,debatenight,Zendaya,,http://twitter.com/maxxi_lynn/status/780565955638202369,"RT @Zendaya: #debatenight make sure you watch, listen, and know who you're voting for.",Yes,No,,,,,,
2016-09-27 00:33:34+00:00,780566014723559424,271828180xC8,35,144,0,0,debatenight,,,http://twitter.com/271828180xC8/status/780566014723559424,Hillary will pass out in the middle of the debate. #debatenight,No,No,,,,,,
2016-09-27 00:33:55+00:00,780566103596687361,ampincivero,7163,6991,0,0,"DWTS, debatenight",,,http://twitter.com/ampincivero/status/780566103596687361,Those masks are HORRIFYING! Hillary's because it's nothing like her. Trump's because it's EXACTLY like him! #DWTS #debatenight,No,No,,,,,,
2016-09-27 00:34:17+00:00,780566192104681472,tltiger26,5260,5787,0,0,debatenight,WeNeedTrump,,http://twitter.com/tltiger26/status/780566192104681472,RT @WeNeedTrump: How excited are you for #debatenight?,Yes,No,,,,,,
2016-09-27 00:35:31+00:00,780566504987254784,GunMetalJackal,468,254,0,0,,"spinnersmedia, taupehime, GunMetalJackal",,http://twitter.com/GunMetalJackal/status/780566504987254784,RT @spinnersmedia: @taupehime @GunMetalJackal This changes the whole debate. Third party candidate does have a chance. Starmix looks great…,Yes,No,,,,,,
2016-09-27 00:38:29+00:00,780567252731060224,SheScreamFlacko,2589,872,0,0,debatenight,TheSmokersClub,,http://twitter.com/SheScreamFlacko/status/780567252731060224,RT @TheSmokersClub: https://t.co/r40UkX5YWQ 🇺🇸🇺🇸 #debatenight,Yes,No,,https://t.co/r40UkX5YWQ,http://DONTPASSTRUMPTHEBLUNT.COM,,,
